                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0532,                0.66173,                 1.0174,                0.78325,                0.73242,                0.76258,                0.50449,                 1.1948,                0.73895,                 1.1284,              0.0010842,              0.0010842,              0.0010842
                     69,                 1.0523,                0.65968,                 1.0187,                0.68464,                0.75891,                0.74726,                0.48644,                 1.1847,                0.72254,                 1.1275,              0.0010817,              0.0010817,              0.0010817
                     70,                 1.0603,                0.66013,                 1.0279,                0.74681,                 0.7496,                0.78481,                0.50703,                 1.2138,                0.74511,                 1.1435,              0.0010792,              0.0010792,              0.0010792
                     71,                 1.0534,                  0.666,                 1.0251,                0.72984,                0.72544,                0.76703,                0.49996,                 1.1874,                 0.7424,                  1.128,              0.0010768,              0.0010768,              0.0010768
                     72,                  1.056,                0.67076,                 1.0165,                0.73083,                 0.7591,                0.75821,                0.49539,                 1.2024,                0.76585,                 1.1296,              0.0010743,              0.0010743,              0.0010743
                     73,                 1.0507,                0.65841,                 1.0202,                0.72556,                0.76191,                0.76388,                0.50571,                 1.2016,                0.74247,                 1.1347,              0.0010718,              0.0010718,              0.0010718
                     74,                 1.0395,                0.64612,                 1.0154,                0.66972,                0.77394,                0.73752,                0.47167,                 1.2332,                0.77421,                 1.1529,              0.0010693,              0.0010693,              0.0010693
                     75,                 1.0461,                0.65415,                 1.0223,                0.69264,                0.74979,                0.76112,                0.48976,                 1.2098,                0.73017,                 1.1347,              0.0010669,              0.0010669,              0.0010669
                     76,                  1.044,                0.64525,                 1.0226,                0.70479,                0.73043,                0.75068,                 0.4867,                 1.1898,                0.74469,                 1.1349,              0.0010644,              0.0010644,              0.0010644
                     77,                 1.0319,                0.64086,                 1.0084,                0.72947,                0.77131,                0.74725,                0.48932,                 1.1877,                0.72912,                 1.1275,              0.0010619,              0.0010619,              0.0010619
                     78,                 1.0147,                0.63226,                 1.0083,                0.70073,                0.75708,                0.73319,                0.48147,                 1.2093,                0.77514,                 1.1407,              0.0010594,              0.0010594,              0.0010594
